fre_len,eng_len,f_ind,e_ind,prob
14,13,1,1,0.7672276806352276
14,13,1,2,0.045454549818142106
14,13,1,3,0.04545454649459064
14,13,1,4,0.07916280185883327
14,13,1,5,0.04545455147607033
14,13,1,6,0.04545455147607033
14,13,1,7,2.5441385424264175e-8
14,13,1,8,0.04545455147607033
14,13,1,9,0.0012734316238878303
14,13,1,10,0.04545455147607033
14,13,1,11,0.07764655864464824
14,13,1,12,0.04545455147607033
14,13,1,13,0.04545455147607033
14,13,2,1,0.014060053942402922
14,13,2,2,0.10101009751464188
14,13,2,3,0.04874227290554523
14,13,2,4,0.08013874258728013
14,13,2,5,0.10101009917257009
14,13,2,6,0.10101009917257009
14,13,2,7,0.08959748539794493
14,13,2,8,0.10101009917257009
14,13,2,9,0.0012221444861767587
14,13,2,10,0.10101009917257009
14,13,2,11,0.07450005497960313
14,13,2,12,0.10101009917257009
14,13,2,13,0.10101009917257009
14,13,3,1,0.0005187343842548599
14,13,3,2,0.045454549269952946
14,13,3,3,0.36381762754720326
14,13,3,4,0.16051900292792898
14,13,3,5,0.0454545509278812
14,13,3,6,0.0454545509278812
14,13,3,7,2.455729088168713e-8
14,13,3,8,0.0454545509278812
14,13,3,9,0.001222404482337391
14,13,3,10,0.0454545509278812
14,13,3,11,0.07449813781117058
14,13,3,12,0.0454545509278812
14,13,3,13,0.0454545509278812
14,13,4,1,0.014060053942402922
14,13,4,2,0.10101009751464188
14,13,4,3,0.04874227290554523
14,13,4,4,0.08013874258728013
14,13,4,5,0.10101009917257009
14,13,4,6,0.10101009917257009
14,13,4,7,0.08959748539794493
14,13,4,8,0.10101009917257009
14,13,4,9,0.0012221444861767587
14,13,4,10,0.10101009917257009
14,13,4,11,0.07450005497960313
14,13,4,12,0.10101009917257009
14,13,4,13,0.10101009917257009
14,13,5,1,0.047693188315901455
14,13,5,2,0.055555554666630834
14,13,5,3,0.003287728399606026
14,13,5,4,0.0009759426316986414
14,13,5,5,0.05555555466663091
14,13,5,6,0.05555555466663091
14,13,5,7,0.16349326636684317
14,13,5,8,0.05555555466663091
14,13,5,9,0.1922048096283767
14,13,5,10,0.05555555466663091
14,13,5,11,1.9183829474492546e-6
14,13,5,12,0.05555555466663091
14,13,5,13,0.05555555466663091
14,13,6,1,0.014060053942402922
14,13,6,2,0.10101009751464188
14,13,6,3,0.04874227290554523
14,13,6,4,0.08013874258728013
14,13,6,5,0.10101009917257009
14,13,6,6,0.10101009917257009
14,13,6,7,0.08959748539794493
14,13,6,8,0.10101009917257009
14,13,6,9,0.0012221444861767587
14,13,6,10,0.10101009917257009
14,13,6,11,0.07450005497960313
14,13,6,12,0.10101009917257009
14,13,6,13,0.10101009917257009
14,13,7,1,0.014060053942402922
14,13,7,2,0.10101009751464188
14,13,7,3,0.04874227290554523
14,13,7,4,0.08013874258728013
14,13,7,5,0.10101009917257009
14,13,7,6,0.10101009917257009
14,13,7,7,0.08959748539794493
14,13,7,8,0.10101009917257009
14,13,7,9,0.0012221444861767587
14,13,7,10,0.10101009917257009
14,13,7,11,0.07450005497960313
