fre_len,eng_len,f_ind,e_ind,prob
5,4,1,1,0.5
5,4,1,2,2.4984650334651384e-8
5,4,1,3,2.3000705648565166e-12
5,4,1,4,0.5
5,4,2,1,6.348262833678713e-24
5,4,2,2,0.9999992119449558
5,4,2,3,1.3736780102178466e-10
5,4,2,4,6.348262833678713e-24
5,4,3,1,4.349075177259561e-21
5,4,3,2,4.72895932943604e-9
5,4,3,3,1.4214205302388367e-9
5,4,3,4,4.349075177259561e-21
5,4,4,1,0.5
5,4,4,2,2.4984650334651384e-8
5,4,4,3,2.3000705648565166e-12
5,4,4,4,0.5
5,4,5,1,2.8612123922706056e-29
5,4,5,2,7.333567841696229e-7
5,4,5,3,0.9999999984366114
5,4,5,4,2.8612123922706056e-29
9,7,1,1,0.4422844707570469
9,7,1,2,2.776535403224409e-25
9,7,1,3,4.934152816574505e-33
9,7,1,4,3.9868387591674843e-25
9,7,1,5,2.9971636891597063e-28
9,7,1,6,2.2411324960722704e-13
9,7,1,7,2.9971636891597063e-28
9,7,2,1,5.620885791871699e-24
9,7,2,2,6.832596906477254e-6
9,7,2,3,4.054449515214814e-32
9,7,2,4,0.3384489109146858
9,7,2,5,5.651440481781425e-26
9,7,2,6,1.1123537172831196e-10
9,7,2,7,5.651440481781425e-26
9,7,3,1,1.4677844356346092e-21
9,7,3,2,0.49540682743223446
9,7,3,3,4.1534933258979646e-32
9,7,3,4,5.344252781318471e-17
9,7,3,5,5.499384416461224e-26
9,7,3,6,9.963877122027106e-11
9,7,3,7,5.499384416461224e-26
9,7,4,1,2.5370219370660918e-23
9,7,4,2,1.0326115870522325e-27
9,7,4,3,0.4707817194228427
9,7,4,4,5.269396951226478e-23
9,7,4,5,2.6622223648245224e-24
9,7,4,6,2.958938833282186e-11
9,7,4,7,2.6622223648245224e-24
9,7,5,1,1.9652613389141424e-29
9,7,5,2,1.2834504472627688e-30
9,7,5,3,2.747954470525414e-27
9,7,5,4,6.371745662245101e-7
9,7,5,5,3.783057787969175e-32
9,7,5,6,1.6373471720786949e-9
9,7,5,7,3.783057787969175e-32
9,7,6,1,1.612234628796679e-22
9,7,6,2,1.0373774211288894e-27
9,7,6,3,2.0640015100350977e-26
9,7,6,4,5.269852938674961e-23
9,7,6,5,8.569298202523233e-8
9,7,6,6,2.958958026021767e-11
9,7,6,7,8.569298202523233e-8
9,7,7,1,1.2810102968695242e-24
9,7,7,2,3.1505762037569633e-24
9,7,7,3,4.054131938279995e-32
9,7,7,4,0.4288693849350015
9,7,7,5,5.681590497717864e-26
9,7,7,6,0.33333333040870405
9,7,7,7,5.681590497717864e-26
9,7,8,1,2.666946261413543e-23
9,7,8,2,3.1439403029562163e-24
9,7,8,3,3.340847808348036e-29
9,7,8,4,4.057397482674311e-20
9,7,8,5,0.5088521754214593
9,7,8,6,1.2976606759559017e-10
9,7,8,7,0.5088521754214593
9,7,9,1,5.310895508419628e-32
9,7,9,2,1.3398018323804714e-31
9,7,9,3,2.827086995745138e-44
9,7,9,4,7.192801804005244e-23
9,7,9,5,1.506217100115521e-39
9,7,9,6,1.984243480368105e-9
9,7,9,7,1.506217100115521e-39
10,11,1,1,0.16666666666666616
10,11,1,2,0.16666492007918013
10,11,1,3,0.16666666666666616
10,11,1,4,0.16666487317286155
10,11,1,5,0.16666666666666616
10,11,1,6,1.681799529814298e-11
10,11,1,7,2.0185838408316159e-7
10,11,1,8,0.16666666666666616
10,11,1,9,0.11315737184232857
10,11,1,10,5.237939552192334e-8
10,11,1,11,0.16666666666666616
10,11,2,1,0.16666666666666616
10,11,2,2,0.16666492007918013
10,11,2,3,0.16666666666666616
10,11,2,4,0.16666487317286155
10,11,2,5,0.16666666666666616
10,11,2,6,1.681799529814298e-11
10,11,2,7,2.0185838408316159e-7
10,11,2,8,0.16666666666666616
10,11,2,9,0.11315737184232857
10,11,2,10,5.237939552192334e-8
10,11,2,11,0.16666666666666616
10,11,3,1,0.16666666666666616
10,11,3,2,0.16666492007918013
10,11,3,3,0.16666666666666616
10,11,3,4,0.16666487317286155
10,11,3,5,0.16666666666666616
10,11,3,6,1.681799529814298e-11
10,11,3,7,2.0185838408316159e-7
10,11,3,8,0.16666666666666616
10,11,3,9,0.11315737184232857
10,11,3,10,5.237939552192334e-8
10,11,3,11,0.16666666666666616
10,11,4,1,2.8653256787454867e-15
10,11,4,2,9.933875264643774e-6
10,11,4,3,2.8653256787454867e-15
10,11,4,4,1.0206220254955964e-5
10,11,4,5,2.8653256787454867e-15
10,11,4,6,0.9999999984980058
10,11,4,7,1.591896170662663e-11
10,11,4,8,2.8653256787454867e-15
10,11,4,9,8.893298974552195e-6
10,11,4,10,3.7340640968199197e-7
10,11,4,11,2.8653256787454867e-15
10,11,5,1,0.16666666666666616
10,11,5,2,0.16666492007918013
10,11,5,3,0.16666666666666616
10,11,5,4,0.16666487317286155
10,11,5,5,0.16666666666666616
10,11,5,6,1.681799529814298e-11
10,11,5,7,2.0185838408316159e-7
10,11,5,8,0.16666666666666616
10,11,5,9,0.11315737184232857
10,11,5,10,5.237939552192334e-8
10,11,5,11,0.16666666666666616
10,11,6,1,1.551444485861923e-16
10,11,6,2,5.379056517486743e-7
10,11,6,3,1.551444485861923e-16
10,11,6,4,5.526527146814758e-7
10,11,6,5,1.551444485861923e-16
10,11,6,6,1.4010864512620988e-9
10,11,6,7,8.619974578240276e-13
10,11,6,8,1.551444485861923e-16
10,11,6,9,4.815640603957082e-7
10,11,6,10,0.9999993077510566
10,11,6,11,1.551444485861923e-16
10,11,7,1,1.5659824133813933e-22
10,11,7,2,5.429487957544151e-13
10,11,7,3,1.5659824133813933e-22
10,11,7,4,5.578341163780913e-13
10,11,7,5,1.5659824133813933e-22
10,11,7,6,7.243446010104467e-23
10,11,7,7,0.9999896730844988
10,11,7,8,1.5659824133813933e-22
10,11,7,9,0.005372504752589807
10,11,7,10,2.2576477279852067e-19
10,11,7,11,1.5659824133813933e-22
10,11,8,1,0.16666666666666616
10,11,8,2,0.16666492007918013
10,11,8,3,0.16666666666666616
10,11,8,4,0.16666487317286155
10,11,8,5,0.16666666666666616
10,11,8,6,1.681799529814298e-11
10,11,8,7,2.0185838408316159e-7
10,11,8,8,0.16666666666666616
10,11,8,9,0.11315737184232857
10,11,8,10,5.237939552192334e-8
10,11,8,11,0.16666666666666616
10,11,9,1,0.16666666666666616
10,11,9,2,0.16666492007918013
10,11,9,3,0.16666666666666616
10,11,9,4,0.16666487317286155
10,11,9,5,0.16666666666666616
10,11,9,6,1.681799529814298e-11
10,11,9,7,2.0185838408316159e-7
10,11,9,8,0.16666666666666616
10,11,9,9,0.11315737184232857
10,11,9,10,5.237939552192334e-8
10,11,9,11,0.16666666666666616
10,11,10,1,8.066420418650695e-30
10,11,10,2,7.743459963728573e-9
10,11,10,3,8.066420418650695e-30
10,11,10,4,2.089303282923731e-9
10,11,10,5,8.066420418650695e-30
10,11,10,6,6.675751370059125e-23
10,11,10,7,9.115748415733546e-6
10,11,10,8,8.066420418650695e-30
10,11,10,9,0.31567388933040386
10,11,10,10,4.566160534952171e-9
10,11,10,11,8.066420418650695e-30
12,7,1,1,6.620149250954516e-22
