fre,eng,prob
une,madam,3.195640300670895e-241
une,a,1.0
une,and,2.774860746970847e-243
une,silence,2.794649140884947e-303
une,minutes,2.794649140884947e-303
une,point,3.195640300670895e-241
une,the,0.0
une,observed,2.774860746970847e-243
une,of,4.6874069239758845e-285
une,president,3.195640300670895e-241
une,rose,2.774860746970847e-243
une,on,3.195640300670895e-241
une,order,3.195640300670895e-241
une,house,2.7656841042418414e-243
sagit,of,1.3803579340754481e-33
sagit,the,1.4834002651868103e-81
sagit,is,5.156074698214853e-8
sagit,case,0.3333333161464177
sagit,it,3.37857464775607e-104
sagit,alexander,0.3333333161464177
sagit,nikitin,0.3333333161464177
observe,the,9.645755983457677e-290
observe,silence,1.930167658802369e-144
observe,rose,0.24999541385004642
observe,minutes,1.930167658802369e-144
observe,house,0.25001375844986073
observe,observed,0.24999541385004642
observe,and,0.24999541385004642
observe,a,2.5814635115937476e-221
cette,please,0.19981270196774736
cette,this,0.2007491921290106
cette,silence,7.486556944865477e-110
cette,rise,0.19981270196774736
cette,minutes,7.486556944865477e-110
cette,then,0.19981270196774736
cette,for,0.19981270196774736
du,of,1.3803579340754481e-33
du,the,1.4834002651868103e-81
du,is,5.156074698214853e-8
du,case,0.3333333161464177
du,it,3.37857464775607e-104
du,alexander,0.3333333161464177
du,nikitin,0.3333333161464177
cela,done,1.1817462819753716e-283
cela,relative,0.14285714284749576
cela,that,0.0
cela,this,7.431290928430642e-124
cela,it,8.796481104276118e-263
cela,stability,0.14285714284749576
cela,the,3.19011660902842e-192
cela,says,0.1428571429150256
cela,principle,0.14285714284749576
cela,be,0.14285714284749576
cela,should,0.14285714284749576
cela,of,1.1010195424732417e-308
cela,despite,0.14285714284749576
null,inadmissibility,0.0
null,we,0.0
null,would,0.0
null,agrees,0.0
null,relative,0.0
null,that,1.9273743040126511e-112
null,principle,0.0
null,thank,0.0
null,of,9.244595197359114e-43
null,as,0.0
null,madam,0.0
null,is,2.316819909241624e-193
null,and,0.0
null,silence,4.4185690662490015e-278
null,rise,0.0
null,have,0.0
null,in,2.8609782363319033e-223
null,point,0.0
null,has,0.0
null,you,0.0
null,says,0.0
null,observed,0.0
null,do,7.548807395889672e-197
null,shall,7.548807395889672e-197
null,on,0.0
null,suggested,0.0
null,then,0.0
null,gladly,0.0
