french,fertility,prob
une,0,0.5650831458691721
une,2,0.04940232014467822
une,3,0.0016761501477658683
une,1,0.3838383838383838
na,0,0.9331983805668016
na,2,0.0013360323886639676
na,1,0.06546558704453441
sagit,0,0.8769918926474699
sagit,2,0.004473022085546547
sagit,1,0.1185350852669835
observe,0,0.9036949685534591
observe,2,0.002751572327044025
observe,1,0.09355345911949685
cette,0,0.9214054553860379
cette,2,0.0018492834026814608
cette,1,0.07674526121128063
du,0,0.8769918926474699
du,2,0.004473022085546547
du,1,0.1185350852669835
null,0,0.545016049342352
null,2,0.029162876303708563
null,3,0.0006058169971093875
null,1,0.4252152573568301
minute,0,0.6458148330866634
minute,4,0.00041111659266568
minute,2,0.09819108699227101
minute,3,0.012465055089623417
minute,1,0.24311790823877652
suggéré,0,0.9362423447069116
suggéré,2,0.0012029746281714785
suggéré,1,0.06255468066491689
est,0,0.9362423447069116
est,2,0.0012029746281714785
est,1,0.06255468066491689
session,0,0.8068181818181818
session,2,0.011363636363636364
session,1,0.18181818181818182
monsieur,0,0.9068491402686062
monsieur,2,0.002552078348805308
monsieur,1,0.09059878138258845
merci,0,0.02747737688880382
merci,4,0.13392031135355856
merci,7,0.00012760391744026542
merci,2,0.31292734020267754
merci,3,0.2880658436213992
merci,5,0.04593741027849555
merci,6,0.005231760615050882
merci,1,0.1863123531225742
il,7,0.0016773832820799553
il,4,0.17680418547066576
il,0,0.03682255681137426
il,2,0.2476137225927553
il,3,0.17680418547066576
il,5,0.11837533447821398
il,6,0.023882742921043174
il,1,0.2180198889732018
cas,0,0.8769918926474699
cas,2,0.004473022085546547
cas,1,0.1185350852669835
madame,0,0.11894275864210951
madame,4,0.0007702580985806131
madame,2,0.4895487157188558
madame,3,0.03564307233593192
madame,1,0.35509519520452215
que,0,0.9331983805668016
que,2,0.0013360323886639676
que,1,0.06546558704453441
vous,0,0.9214054553860379
vous,2,0.0018492834026814608
vous,1,0.07674526121128063
motion,0,0.899906629318394
motion,2,0.002987861811391223
motion,1,0.09710550887021475
silence,0,0.9125143890807433
silence,2,0.002302252918927808
silence,1,0.08518335800032889
été,0,0.9331983805668016
été,2,0.0013360323886639676
été,1,0.06546558704453441
procédure,0,0.899906629318394
procédure,2,0.002987861811391223
procédure,1,0.09710550887021475
ce,0,0.9331983805668016
ce,2,0.0013360323886639676
ce,1,0.06546558704453441
dalexandre,0,0.8769918926474699
dalexandre,2,0.004473022085546547
dalexandre,1,0.1185350852669835
à,0,0.9214054553860379
à,2,0.0018492834026814608
à,1,0.07674526121128063
volontiers,0,0.9068491402686062
volontiers,2,0.002552078348805308
volontiers,1,0.09059878138258845
pas,0,0.9331983805668016
pas,2,0.0013360323886639676
pas,1,0.06546558704453441
m,0,0.9362423447069116
m,2,0.0012029746281714785
m,1,0.06255468066491689
toutefois,2,0.12431578947368421
toutefois,7,0.07665587044534412
toutefois,9,0.0009311740890688259
toutefois,0,0.04595141700404858
toutefois,10,8.097165991902834e-6
toutefois,8,0.015263157894736841
toutefois,6,0.11810526315789474
toutefois,4,0.11810526315789474
toutefois,3,0.11810526315789474
toutefois,5,0.11810526315789474
toutefois,1,0.26445344129554654
lassemblée,0,0.9362423447069116
lassemblée,2,0.0012029746281714785
lassemblée,1,0.06255468066491689
lever,0,0.9214054553860379
lever,2,0.0018492834026814608
lever,1,0.07674526121128063
parlement,0,0.14501441299790357
parlement,4,0.17357835429769392
parlement,2,0.20545073375262055
parlement,3,0.30227987421383645
parlement,5,0.015068134171907758
parlement,6,0.0003275681341719078
parlement,1,0.15828092243186584
invite,0,0.0410144640380424
invite,4,0.248101182220461
invite,7,3.3022917905026086e-5
invite,2,0.18387160689518525
invite,3,0.27105211016445413
invite,5,0.0691169671752196
invite,6,0.0029390396935473216
invite,1,0.18387160689518525
nikitin,0,0.8769918926474699
nikitin,2,0.004473022085546547
nikitin,1,0.1185350852669835
réalisé,0,0.9331983805668016
réalisé,2,0.0013360323886639676
réalisé,1,0.06546558704453441
présidente,0,0.9254464701680281
présidente,2,0.0017206572040873373
présidente,1,0.07283287262788458
demandé,0,0.9331983805668016
demandé,2,0.0013360323886639676
demandé,1,0.06546558704453441
le,0,0.9056074585581926
le,2,0.0026306118106733207
le,1,0.09176192963113407
