fert,max_vac,last_cept,rel_dist,prob
2,18,1,2,0.13577690770898299
2,18,1,11,0.0006216588675726013
2,18,1,7,0.0001303276427133327
2,18,1,9,0.0001303276427133327
2,18,1,10,0.0001152450809425236
2,18,1,8,0.00012137164312605881
2,18,1,6,0.0011359903222982533
2,18,1,4,0.06266597520291135
2,18,1,3,0.12986335682787742
2,18,1,5,0.005412333493327184
2,18,1,1,0.6640265055675267
11,12,0,4,0.6496199609650687
11,12,0,2,0.07445647591134825
11,12,0,3,0.06000377973717412
11,12,0,5,0.2069449101946055
11,12,0,6,0.007684803680071593
11,12,0,1,0.0012900695117677192
7,18,1,3,1.0
9,18,1,3,0.6802838962869502
9,18,1,1,0.3197161037130498
10,12,0,4,0.4777174793519703
10,12,0,2,0.015498873788001417
10,12,0,3,0.004242158926604239
10,12,0,5,0.3960593844311497
10,12,0,6,0.10648210350229009
8,18,1,4,0.050091417015226264
8,18,1,2,0.04606496931052486
8,18,1,3,0.47178398001611055
8,18,1,1,0.43205963365813743
6,1,0,1,1.0
4,1,0,1,1.0
3,1,0,1,1.0
5,1,0,1,1.0
12,12,0,4,0.37006663754486213
12,12,0,2,0.34746147206086453
12,12,0,3,0.2262721611452229
12,12,0,5,0.0538643073330416
12,12,0,1,0.002335421916007399
1,18,1,7,0.0014021452790035425
1,18,1,4,0.19893320738879833
1,18,1,6,0.0199563946664428
1,18,1,10,3.271793866631884e-5
1,18,1,2,0.11420228483849987
1,18,1,3,0.22127086130041412
1,18,1,11,0.00010596435791641327
1,18,1,5,0.03944282947048145
1,18,1,12,0.00016917919212024732
1,18,1,1,0.4044844155675831
